dataset,method,accuracy,avg_cost,revise_rate,oracle_gap
hard_gsm8k_100,reasoning_greedy,0.79,1.0,0.0,0.12
hard_gsm8k_100,direct_plus_revise,0.86,2.0,1.0,0.05
hard_gsm8k_100,adaptive_policy_v5,0.86,1.53,0.53,0.05
hard_gsm8k_100,adaptive_policy_v6,0.81,1.26,0.26,0.1
hard_gsm8k_100,adaptive_policy_v7,0.82,1.46,0.46,0.09
hard_gsm8k_b2,reasoning_greedy,0.83,1.0,0.0,0.09
hard_gsm8k_b2,direct_plus_revise,0.91,2.0,1.0,0.01
hard_gsm8k_b2,adaptive_policy_v5,0.91,1.41,0.41,0.01
hard_gsm8k_b2,adaptive_policy_v6,0.89,1.27,0.27,0.03
hard_gsm8k_b2,adaptive_policy_v7,0.89,1.4,0.4,0.03
math500_100,reasoning_greedy,0.64,1.0,0.0,0.06
math500_100,direct_plus_revise,0.64,2.0,1.0,0.06
math500_100,adaptive_policy_v5,0.66,1.71,0.71,0.04
math500_100,adaptive_policy_v6,0.65,1.03,0.03,0.05
math500_100,adaptive_policy_v7,0.65,1.09,0.09,0.05
gsm8k_random_100,reasoning_greedy,0.9,1.0,0.0,0.02
gsm8k_random_100,direct_plus_revise,0.92,2.0,1.0,0.0
gsm8k_random_100,adaptive_policy_v5,0.92,1.29,0.29,0.0
gsm8k_random_100,adaptive_policy_v6,0.92,1.18,0.18,0.0
gsm8k_random_100,adaptive_policy_v7,0.92,1.3,0.3,0.0
